course_id,prof_id,score,rank,ethnicity,gender,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,bty_avg,pic_outfit,pic_color
1,1,4.7,tenure track,minority,female,36,55.81395,24,43,upper,single,5.0,not formal,color
2,1,4.1,tenure track,minority,female,36,68.8,86,125,upper,single,5.0,not formal,color
3,1,3.9,tenure track,minority,female,36,60.8,76,125,upper,single,5.0,not formal,color
4,1,4.8,tenure track,minority,female,36,62.60163,77,123,upper,single,5.0,not formal,color
5,2,4.6,tenured,not minority,male,59,85.0,17,20,upper,multiple,3.0,not formal,color
6,2,4.3,tenured,not minority,male,59,87.5,35,40,upper,multiple,3.0,not formal,color
7,2,2.8,tenured,not minority,male,59,88.63636,39,44,upper,multiple,3.0,not formal,color
8,3,4.1,tenured,not minority,male,51,100.0,55,55,upper,single,3.333,not formal,color
9,3,3.4,tenured,not minority,male,51,56.92308,111,195,upper,single,3.333,not formal,color
10,4,4.5,tenured,not minority,female,40,86.95652,40,46,upper,single,3.167,not formal,color
11,4,3.8,tenured,not minority,female,40,88.88889,24,27,upper,single,3.167,not formal,color
12,4,4.5,tenured,not minority,female,40,96.0,24,25,upper,multiple,3.167,not formal,color
13,4,4.6,tenured,not minority,female,40,85.0,17,20,upper,single,3.167,not formal,color
14,4,3.9,tenured,not minority,female,40,56.0,14,25,upper,single,3.167,not formal,color
15,4,3.9,tenured,not minority,female,40,88.09524,37,42,upper,single,3.167,not formal,color
16,4,4.3,tenured,not minority,female,40,90.0,18,20,upper,multiple,3.167,not formal,color
17,4,4.5,tenured,not minority,female,40,83.33334,15,18,upper,multiple,3.167,not formal,color
18,5,4.8,tenure track,not minority,female,31,87.5,42,48,upper,multiple,7.333,not formal,color
19,5,4.6,tenure track,not minority,female,31,90.90909,40,44,upper,multiple,7.333,not formal,color
20,5,4.6,tenure track,not minority,female,31,79.16666,38,48,upper,multiple,7.333,not formal,color
21,5,4.9,tenure track,not minority,female,31,88.88889,40,45,upper,multiple,7.333,not formal,color
22,5,4.6,tenure track,not minority,female,31,88.13559,52,59,upper,multiple,7.333,not formal,color
23,5,4.5,tenure track,not minority,female,31,56.32184,49,87,upper,single,7.333,not formal,color
24,6,4.4,tenured,not minority,male,62,64.53901,182,282,upper,multiple,5.5,formal,color
25,6,4.6,tenured,not minority,male,62,54.79452,160,292,upper,multiple,5.5,formal,color
26,6,4.7,tenured,not minority,male,62,60.76923,79,130,upper,multiple,5.5,formal,color
27,6,4.5,tenured,not minority,male,62,61.75439,176,285,upper,single,5.5,formal,color
28,6,4.8,tenured,not minority,male,62,56.98529,155,272,upper,multiple,5.5,formal,color
29,6,4.9,tenured,not minority,male,62,58.04196,166,286,upper,multiple,5.5,formal,color
30,6,4.5,tenured,not minority,male,62,61.58941,186,302,upper,single,5.5,formal,color
31,7,4.4,tenure track,not minority,female,33,80.48781,33,41,upper,single,4.167,not formal,color
32,7,4.3,tenure track,not minority,female,33,85.29412,29,34,upper,single,4.167,not formal,color
33,7,4.1,tenure track,not minority,female,33,90.2439,37,41,upper,single,4.167,not formal,color
34,7,4.2,tenure track,not minority,female,33,70.7317,29,41,upper,single,4.167,not formal,color
35,7,3.5,tenure track,not minority,female,33,82.35294,28,34,upper,single,4.167,not formal,color
36,8,3.4,tenured,not minority,female,51,60.97561,25,41,upper,multiple,4.0,not formal,color
37,8,4.5,tenured,not minority,female,51,95.45454,21,22,upper,multiple,4.0,not formal,color
38,8,4.4,tenured,not minority,female,51,61.90476,13,21,upper,multiple,4.0,not formal,color
39,8,4.4,tenured,not minority,female,51,94.11765,16,17,upper,multiple,4.0,not formal,color
40,8,2.5,tenured,not minority,female,51,80.0,24,30,lower,multiple,4.0,not formal,color
41,8,4.3,tenured,not minority,female,51,100.0,23,23,upper,multiple,4.0,not formal,color
42,8,4.5,tenured,not minority,female,51,100.0,20,20,upper,multiple,4.0,not formal,color
43,9,4.8,tenure track,not minority,female,33,80.0,48,60,upper,multiple,4.667,not formal,color
44,9,4.8,tenure track,not minority,female,33,87.87878,29,33,upper,single,4.667,not formal,color
